06/07/2016 - 05:46:26 PM	Ethan(Joining/Connecting) connected from the server
06/07/2016 - 05:46:31 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:46:41 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:46:51 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:47:01 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:47:11 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:47:15 PM	Ethan(Recruit) said '.'
06/07/2016 - 05:47:21 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:47:31 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:47:41 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:47:51 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:48:01 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:48:11 PM	Ethan(StormTrooperPVT) changed his team from 'Recruit' to 'StormTrooperPVT'
06/07/2016 - 05:48:11 PM	Ethan(StormTrooperPVT) entered 'discs_request'
06/07/2016 - 05:48:21 PM	Ethan(StormTrooperPVT) entered 'discs_request'
06/07/2016 - 05:48:21 PM	Ethan(StormTrooperPVT) said '/warp'
06/07/2016 - 05:48:24 PM	Ethan(StormTrooperPVT) used ULX command ' noclip'
06/07/2016 - 05:48:31 PM	Ethan(StormTrooperPVT) entered 'discs_request'
06/07/2016 - 05:48:41 PM	Ethan(StormTrooperPVT) entered 'discs_request'
06/07/2016 - 05:48:51 PM	Ethan(StormTrooperPVT) entered 'discs_request'
06/07/2016 - 05:48:53 PM	Ethan(StormTrooperPVT) said '/setwarp HBRailWay'
06/07/2016 - 05:48:56 PM	Ethan(StormTrooperPVT) used ULX command ' noclip'
06/07/2016 - 05:48:58 PM	Ethan(StormTrooperPVT) said '/warp'
06/07/2016 - 05:49:01 PM	Ethan(StormTrooperPVT) entered 'discs_request'
06/07/2016 - 05:49:11 PM	Ethan(StormTrooperPVT) entered 'discs_request'
