08/07/2016 - 09:27:34 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:27:34 PM	501st REG COMM REN(Recruit) entered 'discs_request'
08/07/2016 - 09:27:41 PM	Ethan(Recruit) used ULX command ' noclip'
08/07/2016 - 09:27:43 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:27:43 PM	Ethan(Recruit) entered 'discs_request'
08/07/2016 - 09:27:44 PM	501st REG COMM REN(Recruit) entered 'discs_request'
08/07/2016 - 09:27:44 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:27:53 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:27:53 PM	Ethan(Recruit) entered 'discs_request'
08/07/2016 - 09:27:54 PM	501st REG COMM REN(Recruit) entered 'discs_request'
08/07/2016 - 09:27:54 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:28:01 PM	Darth Tom(Darth) said 'lets'
08/07/2016 - 09:28:03 PM	Darth Tom(Darth) said 'change '
08/07/2016 - 09:28:03 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:28:03 PM	Ethan(Recruit) entered 'discs_request'
08/07/2016 - 09:28:04 PM	Darth Tom(Darth) said 'sith'
08/07/2016 - 09:28:04 PM	501st REG COMM REN(Recruit) entered 'discs_request'
08/07/2016 - 09:28:04 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:28:05 PM	Darth Tom(Darth) said 'ranks'
08/07/2016 - 09:28:06 PM	TEAM Chat : 501st REG COMM REN(Recruit) said '/name Darth VAder'
08/07/2016 - 09:28:06 PM	501st REG COMM REN(Recruit) changed his name from '501st REG COMM REN' to 'Darth VAder'
08/07/2016 - 09:28:07 PM	Darth Tom(Darth) said 'system'
08/07/2016 - 09:28:09 PM	Darth Tom(Darth) said 'plzzzzzzzzzzzzzzzzzzzzz'
08/07/2016 - 09:28:13 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:28:13 PM	Ethan(Recruit) entered 'discs_request'
08/07/2016 - 09:28:14 PM	Darth VAder(Recruit) entered 'discs_request'
08/07/2016 - 09:28:14 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:28:15 PM	Darth Tom(Darth) said 'elt me write'
08/07/2016 - 09:28:17 PM	Darth Tom(Darth) said 'let *'
08/07/2016 - 09:28:23 PM	Darth Tom(Darth) said 'let me write'
08/07/2016 - 09:28:23 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:28:23 PM	Ethan(Recruit) entered 'discs_request'
08/07/2016 - 09:28:24 PM	Darth VAder(Recruit) entered 'discs_request'
08/07/2016 - 09:28:24 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:28:25 PM	Darth VAder(Recruit) said '/name DARTH VADER'
08/07/2016 - 09:28:25 PM	Darth VAder(Recruit) changed his name from 'Darth VAder' to 'DARTH VADER'
08/07/2016 - 09:28:26 PM	Darth Tom(Darth) said 'now'
08/07/2016 - 09:28:26 PM	Darth Tom(Darth) said ':D'
08/07/2016 - 09:28:28 PM	DARTH VADER(Darth Vader) changed his team from 'Recruit' to 'Darth Vader'
08/07/2016 - 09:28:28 PM	Ethan(Sith Master) changed his team from 'Recruit' to 'Sith Master'
08/07/2016 - 09:28:31 PM	Darth Tom(Darth) entered 'rb655_select_force'
08/07/2016 - 09:28:31 PM	Ethan(Sith Master) used ULX command ' noclip'
08/07/2016 - 09:28:33 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:28:33 PM	Ethan(Sith Master) entered 'discs_request'
08/07/2016 - 09:28:34 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:28:34 PM	Darth Tom(Darth) entered 'discs_request'
