07/07/2016 - 09:31:54 PM	Bobba Fett(Recruit) entered 'discs_request'
07/07/2016 - 09:31:54 PM	TP PVT 7598 Duck(Recruit) entered 'discs_request'
07/07/2016 - 09:31:56 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:31:56 PM	ST PVT 9034 Marshall(Recruit) entered 'discs_request'
07/07/2016 - 09:31:57 PM	Stealth Bot(Recruit) entered 'discs_request'
07/07/2016 - 09:31:57 PM	MED REG COMM Ethan(Recruit) said '// everyone switch jobs'
07/07/2016 - 09:31:58 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:31:59 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:32:02 PM	Stealth Bot(REBEL) changed his team from 'Recruit' to 'REBEL'
07/07/2016 - 09:32:04 PM	Bobba Fett(Recruit) entered 'discs_request'
07/07/2016 - 09:32:04 PM	ST PVT 9034 Marshall(StormTrooperPVT) changed his team from 'Recruit' to 'StormTrooperPVT'
07/07/2016 - 09:32:04 PM	TP PVT 7598 Duck(Recruit) entered 'discs_request'
07/07/2016 - 09:32:05 PM	Bobba Fett(Boba Fett) changed his team from 'Recruit' to 'Boba Fett'
07/07/2016 - 09:32:06 PM	Stealth Bot(REBEL) used ULX command ' noclip'
07/07/2016 - 09:32:06 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:06 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:07 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:32:08 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:32:09 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:32:10 PM	Bobba Fett(Boba Fett) used ULX command ' noclip'
07/07/2016 - 09:32:14 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:32:14 PM	TP PVT 7598 Duck(Recruit) entered 'discs_request'
